id,Authors,BestEstimate,CorrelationCoefficient,StandardError,Tstatistic,Observations,DegreesofFreedom,NumberofCountries,TotalSpending,GovernmentConsumption,PublicInvestment,SocialSpending,EducationSpending,HealthSpending,OtherSpending,TradeGlobalization,FinancialGlobalization,OverallEconomicGlobalization,ControlVariables,CountryFixedEffects,TimeFixedEffects,CrossSection,StartingYearData,EndYearData,AdvancedCountriesOnly,DevelopingCountriesOnly,MixofCountries,EconometricStrategy,OLS,RandomEffects,GMM,OtherEstimator,JournalName,YearofPublication,EconomicsJournal,JournalImpactFactor,Primary,Crossauthor,Prior,TermsOfTradeRisk,IncomeLevel,GDPgrowth,Unemployment,LaborPower,PartisanPolitics,OldAge,Democracy,GlobalizationInteracted,OtherGovSpending,LevelLevel,ChangeChange,LevelChange,ChangeLevel
1,Garrett 1995,1,-0.0191,0.0326,-0.585889571,360,335,15,1,0,0,0,0,0,0,1,0,0,"Left power, GDP growth, unemployment, inflation, government spending, Capital mobility (government restrictions on cross-border financial flows)",1,0,0,1967,1990,1,0,0,OLS,1,0,0,0,International Organization,1995,0,4.517,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0
2,Quinn 1997,0,0.621,0.265,2.343396226,30,23,64,0,0,0,1,0,0,0,1,0,0,"Financial openness index, Initial level of government transfers, income growth per capita, investment in % of GDP, trade balance in % of GDP, OPEC member",0,0,1,1974,1989,0,0,1,OLS,1,0,0,0,American Political Science Review,1997,0,3.316,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,Quinn 1997,1,0.023,0.01,2.3,30,23,64,0,0,0,1,0,0,0,0,1,0,"Trade to GDP, Initial level of government transfers, income growth per capita, investment in % of GDP, trade balance in % of GDP, OPEC member",0,0,1,1974,1989,0,0,1,OLS,1,0,0,0,American Political Science Review,1997,0,3.316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,Quinn 1997,0,0.252,0.118,2.13559322,38,31,64,1,0,0,0,0,0,0,1,0,0,"Financial openness index, Initial level of government transfers, income growth per capita, investment in % of GDP, trade balance in % of GDP, OPEC member",0,0,1,1974,1989,0,0,1,OLS,1,0,0,0,American Political Science Review,1997,0,3.316,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,Quinn 1997,0,0.013,0.004,3.25,38,31,64,1,0,0,0,0,0,0,0,1,0,"Trade to GDP, Initial level of government transfers, income growth per capita, investment in % of GDP, trade balance in % of GDP, OPEC member",0,0,1,1974,1989,0,0,1,OLS,1,0,0,0,American Political Science Review,1997,0,3.316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,Alesina and Wacziarg 1998,0,0.19,0.046116505,4.12,122,111,122,0,1,0,0,0,0,0,1,0,0,"initial income, age dependency ratio, urbanization, OECD dummy, South East Asia dummy, Sub-Saharan Africa dummy, socialist dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.152,0.071028037,2.14,122,111,122,0,1,0,0,0,0,0,1,0,0,"Population, initial income, age dependency ratio, urbanization, OECD dummy, South East Asia dummy, Sub-Saharan Africa dummy, socialist dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.031,0.015736041,1.97,122,110,122,0,1,0,0,0,0,0,1,0,0,"initial income, age dependency ratio, urbanization, OECD dummy, South East Asia dummy, Sub-Saharan Africa dummy, socialist dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,1,0.008,0.018604651,0.43,122,111,122,0,1,0,0,0,0,0,1,0,0,"Population, initial income, age dependency ratio, urbanization, OECD dummy, South East Asia dummy, Sub-Saharan Africa dummy, socialist dummy",0,0,1,1985,1989,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3,Alesina and Wacziarg 1998,0,0.006,0.01875,0.32,130,119,130,0,1,0,0,0,0,0,1,0,0,"Population, initial income, population density, urbanization, Latin America dummy, Sub-Saharan Africa dummy, South East Asia dummy, OECD dummy",0,0,1,1980,1984,0,0,1,OLS,1,0,0,0,Journal of Public Economics,1998,1,1.905,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
